,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
655,La Muscleria,"C. MALLORCA, 290",la Dreta de l'Eixample,MEDITERRANEO,None,Si,7.2,0.0,0,17,2.16622,41.39647
656,La Orquídea,"C. LLULL, 230",el Poblenou,LATINO,Abierto,Si,3.45,0.0,0,17,2.20463,41.40275
657,La Palmera,"C. ENRIC GRANADOS, 57",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,9.0,9.5,651,33,2.15811,41.39092
658,La Perla,"C. NUMANCIA, 66",les Corts,ESPAÑOL,Abierto,Si,9.0,0.0,0,24,2.1382,41.38425
659,La Piemontesa Barcelona,"C. ENRIC GRANADOS, 60",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,Si,6.75,0.0,0,24,2.15709,41.39192
660,La Pimpa,"C. EUROPA, 24",les Corts,ITALIANO,None,Si,4.5,0.0,0,15,2.13022,41.38707
661,La Pizza Loca,"C. CREU COBERTA, 64",Hostafrancs,Sin información,None,Si,5.7,8.9,4,15,2.14514,41.37531
662,La Pizzarra,"RBLA. RAVAL, 13",el Raval,Sin información,Abierto,Si,9.0,0.0,0,18,2.16906,41.37932
663,La Plassohla,"VIA. LAIETANA, 49",el Barri Gòtic,MARISQUERIA,Abierto,No,None,8.9,804,30,2.17435,41.38708
664,La Polpa,"C. ENRIC GRANADOS, 69",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Cerrado,Si,6.75,0.0,0,20,2.1577,41.39122
665,La Porca,"C. MATA, 16",el Poble-sec,MEDITERRANEO,Abierto,No,None,9.3,105,20,2.17081,41.37302
666,La Pruna,"C. CALABRIA, 64",Sant Antoni,MEDITERRANEO,Cerrado,Si,4.5,8.5,401,20,2.15724,41.37814
667,La Real Hamburguesería,"C. VALENCIA, 285",la Dreta de l'Eixample,AMERICANO,Abierto,No,None,0.0,0,12,2.16655,41.39528
668,La Retama,"C. AVINYO, 42",el Barri Gòtic,MEDITERRANEO,None,No,None,0.0,0,20,2.17836,41.38051
669,La Rita,"C. ARAGO, 279",la Dreta de l'Eixample,MEDITERRANEO,None,No,None,9.0,95,20,2.16596,41.3932
670,La Rueda,"C. ROSSELLO, 266",la Dreta de l'Eixample,LATINO,Cerrado,No,None,0.0,0,20,2.16456,41.39863
671,La République du Fromage,"C. COMTE URGELL, 190",l'Antiga Esquerra de l'Eixample,FRANCES,None,Si,9.0,0.0,0,18,2.15127,41.38783
672,La Soperí,"C. ROSSELLO, 197",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,2.25,9.2,985,25,2.15577,41.39225
673,La Taberna Griega,"C. TORRENT DE OLLA, 123",la Vila de Gràcia,GRIEGO,None,No,None,8.6,623,23,2.15637,41.40283
674,La Taberneta,"C. ENRIC GRANADOS, 98",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,11.25,0.0,0,15,2.15538,41.39321
675,La Tagliatella - Passeig Sant Joan,"PG. SANT JOAN, 54",la Dreta de l'Eixample,ITALIANO,Abierto,Si,9.0,7.9,153,18,2.1742,41.39623
