Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
AMANECER / ALBA,CL,DEGA BAHI,93,08026,41.41414,2.18591,BARCELONA,Abierto con normalidad,2021-04-29
SÚPER NIL,CL,NIL FABRA,16,08012,41.40607,2.15169,BARCELONA,Abierto con normalidad,2021-04-30
JOY SUSHI,CL,ARAGO,193,08011,41.38775,2.15902,BARCELONA,Abierto con normalidad,2020-09-29
CHEZ KESSLER,CR,VALENCIA,201,08007,41.38973,2.15933,BARCELONA,Abierto con normalidad,2021-01-11
ARCA DE NOE,CL,BUNYOLA,9,08016,41.43747,2.17484,BARCELONA,Abierto con normalidad,2020-10-19
BAR STOP,CL,TARREGA,39,08030,41.43762,2.20564,BARCELONA,Abierto con normalidad,2021-04-08
FRANKBURG,CL,SEQUIA COMTAL,7,08018,41.40822,2.18779,BARCELONA,Abierto con normalidad,2021-04-21
CHRISTY REPETTO,CL,MANSO,30,08015,41.37653,2.16038,BARCELONA,Abierto con normalidad,2021-03-30
RESTAURANTE ASIA,CL,LAS NAVAS DE TOLOSA,268,08027,41.41439,2.18817,BARCELONA,Cerrado temporalmente por COVID,2021-03-22
RESTAURANT CROMA,AV,DIAGONAL,640,08017,41.39086,2.13585,BARCELONA,Abierto con normalidad,2021-04-27
CARACAS CAFE,CL,PADILLA,254,08025,41.40633,2.17636,BARCELONA,Abierto con normalidad,2021-04-27
ESPORT I SALUT,CR,MUNTANER,124,08036,41.38954,2.15563,BARCELONA,Abierto con normalidad,2021-04-29
RESTAURANTE TXIKI,CL,DOCTOR PI I MOLIST,95,08031,41.43423,2.17264,BARCELONA,Abierto con normalidad,2020-12-22
DYLAN GANDUXER,CL,GANDUXER,66,08021,41.39734,2.13571,BARCELONA,Abierto con normalidad,2021-04-29
GU REATAURANT ASIATIC,CL,LAFORJA,70,08006,41.39786,2.14768,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-19
IL CAPRICCIO NAPOLETANO,CL,LAS NAVAS DE TOLOSA,283,08026,41.41432,2.18826,BARCELONA,Abierto con normalidad,2021-04-26
BAR RESTAURANTE TRUJILLO,AV,DIAGONAL,154,08018,41.40608,2.19736,BARCELONA,Abierto con normalidad,2021-04-23
BAR SHINCHAN,CL,TRAVESSERA DE GRACIA,350,08025,41.40947,2.17074,BARCELONA,Abierto con normalidad,2021-04-09
TWIST,CL,TRAVESSERA DE GRACIA,409,08025,41.40982,2.17129,BARCELONA,Abierto con normalidad,2021-03-19
FES PADEL CAN DRAGO,CL,ROSSELLO I PORCEL,7,08016,41.43673,2.18308,BARCELONA,Abierto con normalidad,2021-04-29
CAMPO DE FUTBOL ALZAMORA,PS,ANDREU NIN,S/N,08016,41.43963,2.18330,BARCELONA,Abierto con normalidad,2021-04-28
BCN EMOTORSPORT,AV,DIAGONAL,647,08028,41.38502,2.11518,BARCELONA,Abierto con normalidad,2021-03-25
MIRIOT RESTAURANT,CL,ANGEL GUIMERA,14,08017,41.39613,2.13287,BARCELONA,Cerrado temporalmente por COVID,2021-02-26
RESTAURANTE MANZOKU,CL,ESPRONCEDA,126,08005,41.40671,2.20283,BARCELONA,Abierto con normalidad,2021-04-29
PANCHITO SOM MULTIESPAI,AV,RIO DE JANEIRO,44,08016,41.43548,2.18010,BARCELONA,Abierto con normalidad,2021-04-22
FRUITES I  VERDURES,RB,"L'ONZE DE SETEMBRE",53,08030,41.43004,2.19087,BARCELONA,Abierto con normalidad,2021-03-19
BOTIGUETA DE GRACIA,PZ,LA VILA DE GRACIA,17,08012,41.40014,2.15735,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-28
SWITCH,CL,FRANCISCO GINER,24,08012,41.39913,2.15914,BARCELONA,Cerrado temporalmente por COVID,2021-02-09
RESTAURANTE WOK RONDA,CL,BOLIVIA,203,08020,41.41050,2.20115,BARCELONA,Abierto con normalidad,2021-04-28
VEGAN JUNK FOOD BAR,CL,NAU,1,08003,41.38319,2.18038,BARCELONA,Abierto con normalidad,2021-04-27
NOMAD ENTERPRISES,CR,PUIG-REIG,4,08006,41.40498,2.14322,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-23
