nombre,cocina,direccion,rating,num_opiniones,precio
Cierzo,MEDITERRÁNEO,"Carrer de Bailèn, 56, 08009, Barcelona",9.6,698,20
La Estrella,MEDITERRÁNEO,"Carrer d'Ocata, 6, bj, 08003, Barcelona",9.6,689,20
Don Asador,ARGENTINO,"Carrer del Comte d'Urgell, 111, 08011, Barcelona",9.3,314,25
MexGal,FUSIÓN,"Av. Francesc Ferrer i Guàrdia, 13, 08038, Barcelona",9.4,89,35
Tocca Ristorante,€,"Moll de Gregal, 19, 08005, Barcelona",9.0,3,15
Bar petit tibetano,ASIÁTICO,"Carrer del Bruc, 121, 08037, Barcelona",8.7,26,18
La Chelinda - Enric Granados,MEXICANO,"Carrer d'Enric Granados, 9, 08007, Barcelona",8.5,185,15
BioXoco,€,"Carrer de la Indústria, 252, 08026, Barcelona",8.8,36,14
Gornishki,MEDITERRÁNEO,"Avinguda Diagonal, 608, 08021, Barcelona",8.8,13,15
Little India,INDIO,"Carrer del Consell de Cent, 313, 08007, Barcelona",8.7,89,30
Bronzo Bar e Cucina - Eixample,ITALIANO,"Carrer de Còrsega, 307, 08008, Barcelona",9.5,670,20
La Terraza Miró,ESPAÑOL,"Carrer de Tarragona, 129, 08014, Barcelona",9.5,2523,30
El Salón,MEDITERRÁNEO,"C/ Hostal D'en Sol, 6, 08002, Barcelona",9.4,977,25
La boca agua,MEDITERRÁNEO,"Carrer del Roser, 34, 08004, Barcelona",9.3,36,30
Casa Xica,ASIÁTICO,"Carrer de la França Xica, 20, 08004, Barcelona",9.4,161,36
Cibulet,FUSIÓN,"Carrer de Francisco Giner, 54, 08012, Barcelona",9.7,1039,"[15, 15, 60, 25, 30, 25, 20, 20, 25, 35, 15, 18, 15, 14, 15, 30, 20, 30, 25, 30, 36]"
La Barra del Gourmet,MEDITERRÁNEO,"Carrer de la Diputació, 164, 08011, Barcelona",9.3,160,55
Pura Brasa - Rambla Catalunya,ASADOR,"C/ Rambla Cataluña, 13, 08007, Barcelona",8.8,248,16
Lluis de les Moles,CATALÁN,"C/ de les Moles, 25, 08002, Barcelona",9.4,486,25
Antigua,MEDITERRÁNEO,"Carrer de Marià Cubí, 59, 08006, Barcelona",9.4,24267,30
Bivio,MEDITERRÁNEO,"Passeig de Joan de Borbó, 60, 08003, Barcelona",8.6,214,24
Papadam Indian Authentic,INDIO,"Ronda de Sant Pau, 11, 08015, Barcelona",9.5,1570,20
Internacional,MEXICANO,"Carrer de la Jonquera, 26, 08005, Barcelona",8.6,887,20
Out of India,INDIO,"Carrer de Mallorca , enfrente Expo hotel , cerca de Sants estación., 08014, Barcelona",9.5,1140,25
Rooftop Garden - El Palace Barcelona,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 668 (Planta 7), 08010, Barcelona",9.4,354,45
Yoi Yoi Gion,JAPONÉS,"Avinguda Diagonal, 383, 08008, Barcelona",9.4,861,15
Quixote,MEDITERRÁNEO,"C/ Consell de Cent, 314, 08007, Barcelona",8.6,3057,20
Can Solé,MEDITERRÁNEO,"Carrer de Sant Carles, 4, 08003, Barcelona",9.4,574,60
Medio o Pinto,VENEZOLANO,"Carrer de Calvet, 27, 08021, Barcelona",9.3,332,25
Central Barcelona,MEDITERRÁNEO,"Carrer d'Aribau, 86, 08036, Barcelona",9.3,38,15
